[58. 57. 60. 64. 70. 69. 65. 64. 75. 68. 64. 64. 74. 68. 63. 71. 73. 69.
 62. 68. 60. 73. 69. 68. 78. 73. 67. 74. 73. 76. 76. 72. 75. 77. 73. 76.
 83. 69. 73. 71. 70. 72. 68. 77. 70. 78. 71. 70. 74. 78. 74. 80. 74. 80.
 77. 70. 69. 74. 72. 69. 70. 72. 70. 66. 79. 71. 68. 73. 73. 68.][68. 62. 65. 62. 63. 61. 70. 71. 70. 64. 68. 68. 73. 62. 68. 67. 68. 64.
 63. 65. 65. 73. 73. 68. 83. 77. 69. 68. 75. 75. 76. 69. 78. 74. 73. 75.
 67. 67. 78. 74. 73. 71. 73. 78. 69. 72. 66. 71. 69. 81. 70. 74. 81. 75.
 67. 69. 69. 77. 70. 67. 61. 67. 77. 77. 70. 71. 70. 74. 77. 77.][63. 64. 66. 65. 62. 62. 67. 67. 69. 71. 71. 62. 75. 66. 58. 61. 78. 63.
 68. 61. 74. 65. 64. 70. 68. 74. 66. 66. 67. 68. 71. 65. 73. 75. 72. 68.
 73. 75. 70. 77. 64. 71. 68. 72. 70. 72. 71. 76. 74. 75. 77. 68. 70. 75.
 68. 67. 66. 68. 63. 73. 60. 61. 64. 63. 75. 66. 70. 61. 73. 69.][65. 71. 68. 66. 65. 67. 68. 67. 63. 64. 68. 66. 64. 69. 63. 66. 67. 61.
 61. 59. 69. 65. 65. 66. 68. 71. 62. 66. 75. 70. 77. 75. 73. 79. 73. 73.
 75. 69. 73. 81. 69. 71. 70. 72. 66. 75. 66. 72. 75. 71. 69. 74. 72. 69.
 71. 65. 66. 75. 66. 58. 63. 58. 66. 72. 71. 66. 67. 65. 70. 66.][69. 56. 69. 60. 61. 72. 69. 69. 69. 60. 62. 65. 65. 71. 72. 67. 67. 63.
 61. 57. 64. 60. 57. 66. 67. 67. 68. 73. 69. 77. 85. 73. 66. 69. 70. 62.
 68. 73. 69. 77. 69. 73. 63. 63. 69. 66. 62. 67. 71. 77. 72. 65. 75. 71.
 72. 71. 60. 64. 61. 59. 59. 61. 60. 58. 68. 68. 70. 69. 77. 62.][72. 67. 62. 64. 64. 68. 63. 63. 66. 70. 62. 64. 73. 70. 61. 69. 68. 73.
 60. 54. 65. 63. 72. 71. 66. 69. 72. 67. 67. 68. 71. 66. 63. 66. 67. 66.
 69. 70. 76. 76. 63. 70. 72. 70. 65. 71. 72. 67. 71. 70. 67. 70. 76. 73.
 73. 66. 65. 70. 60. 58. 58. 58. 63. 68. 61. 54. 64. 69. 68. 64.][62. 73. 60. 60. 57. 56. 61. 62. 65. 65. 75. 74. 66. 68. 65. 54. 64. 69.
 65. 66. 65. 63. 69. 61. 62. 71. 64. 59. 57. 68. 64. 67. 64. 65. 69. 75.
 70. 70. 78. 78. 68. 62. 71. 81. 72. 73. 70. 71. 74. 74. 70. 69. 73. 74.
 74. 61. 64. 71. 69. 60. 58. 59. 58. 56. 59. 60. 64. 67. 69. 67.][59. 59. 67. 58. 59. 62. 60. 66. 64. 61. 61. 66. 62. 70. 62. 61. 72. 74.
 61. 67. 65. 68. 66. 69. 69. 68. 65. 66. 66. 71. 76. 67. 73. 68. 70. 64.
 71. 65. 72. 76. 77. 66. 66. 73. 75. 73. 72. 71. 70. 71. 73. 77. 74. 65.
 68. 61. 68. 72. 65. 60. 60. 55. 51. 64. 60. 66. 70. 69. 65. 69.][68. 63. 59. 58. 68. 66. 67. 67. 70. 67. 67. 69. 70. 65. 72. 60. 71. 76.
 64. 66. 70. 64. 53. 60. 75. 76. 74. 60. 65. 73. 74. 65. 69. 74. 70. 67.
 60. 70. 73. 69. 72. 75. 76. 68. 65. 66. 79. 72. 75. 75. 73. 70. 73. 79.
 74. 71. 71. 64. 61. 62. 52. 61. 64. 59. 60. 67. 69. 70. 66. 68.][62. 61. 58. 64. 64. 62. 65. 65. 66. 76. 64. 70. 66. 66. 71. 64. 80. 69.
 68. 63. 70. 69. 61. 70. 71. 77. 77. 62. 67. 72. 68. 66. 68. 74. 70. 67.
 62. 74. 77. 74. 71. 70. 71. 78. 74. 75. 69. 62. 69. 71. 77. 76. 71. 69.
 75. 77. 71. 62. 74. 68. 63. 62. 64. 69. 68. 72. 73. 71. 64. 65.][63. 72. 65. 61. 62. 76. 73. 68. 68. 66. 63. 73. 71. 64. 70. 66. 72. 70.
