18 32 39
18 30 30
29 33 41
25 25 34
24 29 34
23 34 28
28 28 27
19 30 29
23 26 27
29 28 33
27 31 33
29 29 33
25 24 27
21 20 31
25 17 33
20 20 31
29 27 27
25 29 31
25 32 33
24 28 33
25 34 38
26 33 34
28 31 28
23 34 28
29 32 26
27 28 30
23 22 31
26 32 29
35 29 33
27 33 30
36 34 32
29 27 28
26 23 31
31 22 32
29 31 32
31 31 31
26 29 31
26 32 32
25 28 24
25 38 23
23 41 26
20 36 28
24 33 20
27 27 30
25 28 33
31 30 28
27 32 31
18 34 27
27 40 31
25 31 30
29 28 29
20 25 28
25 24 29
27 24 24
24 28 24
31 28 28
28 35 27
29 32 32
30 35 33
29 28 37
25 34 30
28 32 31
28 34 36
27 27 26
25 29 35
32 27 32
26 26 31
29 24 27
31 32 28
30 36 30
27 39 33
27 32 36
27 30 39
26 31 33
30 31 34
17 28 30
29 29 28
23 28 30
27 33 32
27 33 31
30 26 30
22 33 33
26 25 31
24 26 33
26 32 36
25 35 35
26 39 31
27 33 28
24 36 28
23 31 31
25 24 20
22 26 28
29 21 27
28 27 28
34 30 30
39 37 27
30 36 25
30 41 30
24 36 34
27 36 29
32 29 34
25 32 36
25 29 26
27 24 31
30 21 30
28 22 31
34 26 28
31 31 27
22 33 31
26 29 30
30 32 31
27 31 34
30 29 33
26 31 29
28 28 29
27 24 18
28 19 26
24 28 29
29 29 37
25 28 30
28 32 33
27 35 37
33 34 36
30 33 33
25 36 29
28 30 26
30 35 29
29 35 31
29 25 29
22 25 28
24 23 21
21 27 25
28 31 21
30 37 30
29 35 29
24 40 30
23 35 31
26 32 34
28 30 34
25 28 31
27 33 36
23 30 29
23 30 29
27 28 28
29 26 28
33 25 24
30 25 25
24 29 30
24 27 32
30 33 34
26 33 40
35 35 27
31 28 31
26 31 33
28 21 30
26 20 35
25 31 31
30 27 28
26 27 32
28 29 31
26 33 28
27 39 35
21 34 33
19 32 27
27 31 32
33 29 29
33 30 37
24 30 25
22 28 25
23 26 28
22 34 28
30 25 30
23 31 31
22 32 30
24 32 28
23 29 36
24 25 36
26 28 36
26 35 37
20 33 37
25 37 35
18 37 29
25 30 36
23 28 36
24 25 36
24 26 29
25 29 42
25 32 30
33 31 32
23 29 32
33 32 26
32 29 30
28 23 32
28 27 32
22 26 33
22 32 28
25 27 33
30 34 37
24 29 32
24 29 26
21 31 27
18 32 28
26 27 23
22 27 25
28 25 30
27 23 29
28 25 31
24 28 32
24 31 28
30 38 35
24 34 27
21 31 29
23 30 26
28 29 26
26 28 26
30 26 27
23 27 34
27 32 35
22 24 29
25 29 29
24 30 26
26 30 34
25 32 30
33 28 29
22 29 28
29 31 27
23 29 29
29 30 30
29 30 29
26 32 25
25 34 34
26 28 34
29 35 32
21 30 36
30 36 33
26 28 30
30 29 31
22 27 25
22 37 21
26 32 28
21 33 28
28 33 17
24 30 26
22 34 30
27 28 41
30 34 29
29 35 30
30 33 30
31 32 34
33 31 30
29 33 29
25 32 22
27 31 28
26 25 31
30 27 33
27 31 40
26 29 36
21 25 35
23 28 30
24 29 24
30 31 31
33 24 29
28 27 31
26 30 29
21 27 36
30 26 35
20 26 36
24 30 32
25 31 28
36 32 32
23 30 28
23 30 37
22 32 27
32 29 33
26 26 30
25 32 31
25 29 32
25 37 32
27 35 34
29 30 28
22 35 25
28 28 32
23 34 33
24 28 31
28 34 33
24 35 29
27 37 38
33 32 38
34 29 29
33 31 28
25 36 31
24 28 35
28 29 33
29 32 27
26 33 34
30 30 36
27 35 41
26 26 38
35 33 30
30 24 30
29 32 34
24 25 30
27 28 41
27 25 33
26 19 35
29 26 31
25 28 28
34 33 31
31 31 35
28 32 31
26 34 33
28 29 29
34 26 30
26 28 26
29 33 33
27 39 32
30 38 31
30 34 31
34 28 29
25 30 29
28 28 31
30 33 21
28 26 31
29 31 32
25 33 27
22 33 34
31 33 33
27 25 38
26 30 31
23 24 31
30 28 32
25 27 32
34 24 30
32 23 35
27 26 38
29 26 31
28 31 36
31 33 31
28 33 38
27 30 34
26 24 28
22 25 32
29 25 39
26 26 38
25 31 27
28 32 27
23 32 35
27 28 35
27 26 30
25 38 33
29 26 31
23 30 32
25 30 32
22 34 43
30 36 36
21 36 35
37 30 33
24 25 28
28 26 33
30 34 33
27 23 24
30 31 30
24 30 36
27 33 29
24 30 35
26 28 29
24 25 29
22 27 25
31 28 30
29 32 33
37 30 37
34 21 31
30 25 35
27 26 32
26 29 29
