6 6
15 4
13 10
10 12
16 10
18 14
14 12
12 7
12 10
10 7
14 8
10 10
14 11
12 9
10 9
14 9
13 10
10 6
11 12
13 10
10 10
10 12
11 11
16 12
17 11
12 12
9 10
13 9
12 7
15 12
11 11
11 8
15 8
12 8
12 9
12 13
12 13
13 9
13 10
11 10
8 4
13 13
19 18
16 16
17 19
25 22
21 26
22 20
18 17
14 18
16 17
18 22
18 21
21 22
21 20
21 20
19 21
15 27
20 18
17 24
21 21
17 23
16 19
20 17
22 23
23 25
18 26
17 21
20 25
20 23
17 21
16 18
14 11
18 22
14 20
16 17
14 19
21 20
16 23
23 25
21 21
12 13
10 15
19 19
20 21
18 20
20 21
19 22
21 21
20 21
12 14
16 18
18 19
18 23
23 20
20 22
18 18
17 15
15 13
16 23
21 23
22 16
22 21
18 22
14 20
18 21
22 22
17 18
19 14
21 20
19 19
15 21
21 20
20 10
16 19
16 17
17 20
14 16
17 23
18 17
24 22
19 22
13 13
10 13
21 19
14 18
12 19
16 15
14 14
21 20
18 20
20 17
13 17
18 18
18 22
18 23
22 21
22 20
18 20
13 17
17 19
21 23
21 21
18 23
20 20
17 16
17 18
21 22
22 22
18 23
22 23
21 19
20 18
14 19
16 16
16 17
15 15
14 16
17 22
20 15
22 23
24 28
18 22
11 14
8 8
16 15
13 19
14 17
20 17
20 23
16 22
15 21
19 20
14 18
19 23
24 21
21 19
18 21
20 20
13 15
18 17
19 16
20 19
20 24
19 22
17 18
18 21
21 13
19 18
17 18
19 15
21 18
16 17
12 21
16 19
14 17
14 21
17 18
18 20
16 16
19 22
17 23
16 22
21 23
15 14
12 12
13 17
16 18
16 17
21 21
22 21
20 20
19 19
16 21
15 20
23 23
20 20
22 22
15 18
20 19
17 17
19 19
12 16
11 13
20 17
19 22
20 19
13 23
17 17
14 17
15 17
22 22
19 19
18 18
14 15
15 17
13 18
18 13
14 19
14 24
17 16
16 20
19 19
15 20
19 20
8 12
11 11
17 15
13 15
17 17
17 17
19 26
19 18
22 23
20 22
23 22
22 29
21 24
23 23
21 20
21 21
19 17
16 18
15 13
12 14
13 20
17 18
14 22
16 21
19 16
12 18
18 20
20 17
20 17
21 16
15 19
12 18
12 19
18 16
13 13
12 15
16 19
14 16
12 22
12 15
16 21
10 12
16 9
14 14
11 15
15 16
15 18
14 17
20 19
19 24
18 16
21 24
28 20
21 22
18 22
19 22
22 21
19 19
23 19
16 18
12 14
14 17
16 18
15 17
19 18
15 22
20 21
20 23
20 19
18 22
16 18
10 15
13 17
13 18
15 17
20 18
19 19
21 16
15 19
15 15
18 16
14 21
11 12
12 10
17 20
18 19
18 20
15 18
16 19
20 18
17 17
17 21
21 22
24 22
21 23
18 15
19 19
16 24
16 19
20 22
17 14
17 18
18 20
19 19
21 19
14 19
13 18
16 18
22 21
19 19
16 15
9 11
14 10
16 16
17 22
15 20
23 26
21 19
21 20
18 18
14 22
16 19
14 20
12 13
12 10
17 19
19 21
19 16
18 19
15 16
22 21
15 23
21 20
19 21
21 23
23 25
18 19
20 18
14 15
18 22
17 21
20 16
17 22
17 18
17 19
16 20
13 19
19 19
17 23
18 17
19 22
19 20
13 17
15 14
15 20
19 18
19 24
21 21
20 21
13 19
22 16
19 13
15 18
18 14
12 12
15 9
16 22
18 21
21 24
20 23
17 12
18 23
17 17
19 19
23 24
23 26
20 22
16 16
18 17
20 18
17 20
20 19
15 20
15 22
14 12
18 16
12 15
17 15
17 20
18 18
23 23
18 23
15 20
14 12
16 17
17 20
17 23
15 21
15 19
20 19
20 15
15 25
15 19
13 17
18 23
10 11
11 8
16 23
16 21
17 25
20 22
19 19
17 19
11 16
20 18
18 24
19 21
15 23
21 17
18 19
22 20
16 19
15 17
15 17
18 16
10 18
13 18
15 16
18 19
16 21
20 20
19 22
21 24
21 21
11 19
12 18
13 15
